attacker,H,p,k,path_evidence,bvi_verified,bvi_no_verdict,bvi_failed,bvi_detection,bvi_detection_cf,bbca_detection,bbca_detection_cf,false_demotion
worst,8,0.5,2,0.99605,0.87670,0.03620,0.08710,0.25411,0.25000,0.00470,0.00391,0.01630
worst,8,0.55,2,0.99860,0.87765,0.01830,0.10405,0.29667,0.30250,0.00774,0.00837,0.02003
worst,8,0.6,2,0.99930,0.86680,0.00885,0.12435,0.36538,0.36000,0.01650,0.01680,0.02254
worst,8,0.65,2,0.99990,0.85240,0.00390,0.14370,0.41130,0.42250,0.03015,0.03186,0.02800
worst,8,0.7,2,1.00000,0.82880,0.00125,0.16995,0.49892,0.49000,0.06239,0.05765,0.02859
worst,8,0.75,2,0.99995,0.80535,0.00035,0.19430,0.56186,0.56250,0.10352,0.10011,0.03719
worst,8,0.8,2,1.00000,0.78060,0.00005,0.21935,0.64547,0.64000,0.16475,0.16777,0.04053
worst,8,0.85,2,1.00000,0.74665,0.00000,0.25335,0.72495,0.72250,0.27505,0.27249,0.04935
worst,8,0.9,2,1.00000,0.71965,0.00000,0.28035,0.80845,0.81000,0.42668,0.43047,0.05213
worst,8,0.95,2,1.00000,0.68915,0.00000,0.31085,0.90662,0.90250,0.67215,0.66342,0.05831
worst,8,1.0,2,1.00000,0.65585,0.00000,0.34415,1.00000,1.00000,1.00000,1.00000,0.06153
worst,12,0.0,2,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
worst,12,0.05,2,0.46015,0.11650,0.88260,0.00090,0.00287,0.00250,0.00000,0.00000,0.00007
worst,12,0.1,2,0.71880,0.34255,0.65385,0.00360,0.01076,0.01000,0.00000,0.00000,0.00050
worst,12,0.15,2,0.85850,0.54990,0.44125,0.00885,0.02630,0.02250,0.00000,0.00000,0.00149
worst,12,0.2,2,0.93000,0.70665,0.27925,0.01410,0.04227,0.04000,0.00000,0.00000,0.00193
worst,12,0.25,2,0.97020,0.81870,0.15825,0.02305,0.06822,0.06250,0.00000,0.00000,0.00371
worst,12,0.3,2,0.98590,0.88245,0.08635,0.03120,0.08974,0.09000,0.00000,0.00000,0.00540
worst,12,0.35,2,0.99500,0.91920,0.04175,0.03905,0.11650,0.12250,0.00000,0.00000,0.00606
worst,12,0.4,2,0.99735,0.92410,0.02005,0.05585,0.16205,0.16000,0.00000,0.00002,0.00921
worst,12,0.45,2,0.99925,0.92145,0.00795,0.07060,0.20313,0.20250,0.00000,0.00007,0.01365
worst,12,0.5,2,0.99995,0.91065,0.00310,0.08625,0.24610,0.25000,0.00033,0.00024,0.01618
worst,12,0.55,2,0.99995,0.89830,0.00140,0.10030,0.29865,0.30250,0.00085,0.00077,0.01784
worst,12,0.6,2,1.00000,0.87405,0.00035,0.12560,0.36089,0.36000,0.00167,0.00218,0.02505
worst,12,0.65,2,1.00000,0.85155,0.00025,0.14820,0.41919,0.42250,0.00393,0.00569,0.02908
worst,12,0.7,2,1.00000,0.83385,0.00005,0.16610,0.48022,0.49000,0.01073,0.01384,0.03256
worst,12,0.75,2,1.00000,0.80445,0.00000,0.19555,0.56885,0.56250,0.03447,0.03168,0.03200
worst,12,0.8,2,1.00000,0.77765,0.00000,0.22235,0.63433,0.64000,0.06795,0.06872,0.04185
worst,12,0.85,2,1.00000,0.75070,0.00000,0.24930,0.71937,0.72250,0.14630,0.14224,0.04712
worst,12,0.9,2,1.00000,0.72350,0.00000,0.27650,0.81464,0.81000,0.28858,0.28243,0.04975
worst,12,0.95,2,1.00000,0.68860,0.00000,0.31140,0.90171,0.90250,0.53694,0.54036,0.05702
worst,12,1.0,2,1.00000,0.65760,0.00000,0.34240,1.00000,1.00000,1.00000,1.00000,0.06451
